# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
6.24643, -9.27831, 1.11803, 1.11803
6.19495, -9.36104, 1.09202, 1.09202
6.09580, -9.44438, 1.01242, 1.01242
5.99227, -9.51711, 0.88600, 0.88600
5.87568, -9.55833, 0.81394, 0.81394
5.74892, -9.57500, 0.80000, 0.80000
5.61526, -9.57500, 0.80000, 0.80000
5.48160, -9.57500, 0.73824, 0.73824
5.34793, -9.57500, 0.68007, 0.68007
5.21861, -9.56454, 0.65765, 0.65765
5.09185, -9.54787, 0.60000, 0.60000
4.96509, -9.53120, 0.60000, 0.60000
4.83400, -9.52500, 0.60000, 0.60000
4.70033, -9.52500, 0.60000, 0.60000
4.57357, -9.50833, 0.60208, 0.60208
4.44682, -9.49167, 0.58523, 0.58523
4.32006, -9.47500, 0.60000, 0.60000
4.19330, -9.45833, 0.60000, 0.60000
4.06654, -9.44167, 0.55902, 0.55902
3.93978, -9.42500, 0.60000, 0.60000
3.80637, -9.42440, 0.60000, 0.60000
3.67961, -9.40773, 0.60000, 0.60000
3.55285, -9.39107, 0.57009, 0.57009
3.42584, -9.37500, 0.60000, 0.60000
3.29867, -9.35933, 0.60000, 0.60000
3.17191, -9.34266, 0.60000, 0.60000
3.05131, -9.31112, 0.60000, 0.60000
2.92497, -9.29346, 0.57009, 0.57009
2.79821, -9.27679, 0.61847, 0.61847
2.66952, -9.26478, 0.60415, 0.60415
2.54338, -9.24662, 0.60208, 0.60208
2.42353, -9.21329, 0.60000, 0.60000
2.29944, -9.19018, 0.60000, 0.60000
2.17206, -9.17500, 0.60000, 0.60000
2.03840, -9.17500, 0.60000, 0.60000
1.90512, -9.17407, 0.60000, 0.60000
1.77836, -9.15741, 0.60000, 0.60000
1.65166, -9.14061, 0.60000, 0.60000
1.53142, -9.10821, 0.60208, 0.60208
1.40466, -9.09154, 0.57009, 0.57009
